TheSunX,TheSunY,TheSunZ,MercuryX,MercuryY,MercuryZ,VenusX,VenusY,VenusZ,EarthX,EarthY,EarthZ,MarsX,MarsY,MarsZ,JupiterX,JupiterY,JupiterZ,SaturnX,SaturnY,SaturnZ,UranusX,UranusY,UranusZ,NeptuneX,NeptuneY,NeptuneZ,PlutoX,PlutoY,PlutoZ,
5.56904e+08,2.00126e+08,-2.40415e+07,5.4691e+10,-1.36772e+10,-6.11934e+09,-1.0461e+11,1.88587e+10,6.30531e+09,-3.26341e+08,1.47567e+11,-5.35974e+07,-2.43581e+11,4.2936e+10,6.84926e+09,-7.70026e+11,2.47533e+11,1.61809e+10,-5.61136e+11,-1.38668e+12,4.64453e+10,2.82556e+12,9.7599e+11,-3.29987e+10,4.181e+12,-1.61587e+12,-6.30871e+10,1.27318e+12,-4.76877e+12,1.4218e+11,
5.5691e+08,2.00169e+08,-2.40417e+07,5.47005e+10,-1.35005e+10,-6.1058e+09,-1.04632e+11,1.87335e+10,6.30485e+09,-4.3542e+08,1.47566e+11,-5.35948e+07,-2.43593e+11,4.28575e+10,6.8479e+09,-7.70041e+11,2.4749e+11,1.61814e+10,-5.61106e+11,-1.3867e+12,4.64443e+10,2.82555e+12,9.76012e+11,-3.29985e+10,4.18101e+12,-1.61586e+12,-6.30876e+10,1.2732e+12,-4.76877e+12,1.42174e+11,
5.56916e+08,2.00211e+08,-2.40419e+07,5.47094e+10,-1.33237e+10,-6.09221e+09,-1.04653e+11,1.86083e+10,6.30439e+09,-5.44498e+08,1.47564e+11,-5.35922e+07,-2.43604e+11,4.27791e+10,6.84654e+09,-7.70056e+11,2.47448e+11,1.6182e+10,-5.61076e+11,-1.38671e+12,4.64434e+10,2.82554e+12,9.76034e+11,-3.29984e+10,4.18101e+12,-1.61584e+12,-6.30882e+10,1.27322e+12,-4.76877e+12,1.42169e+11,
5.56922e+08,2.00254e+08,-2.4042e+07,5.47177e+10,-1.31468e+10,-6.07855e+09,-1.04675e+11,1.84831e+10,6.30392e+09,-6.53576e+08,1.47563e+11,-5.35895e+07,-2.43616e+11,4.27006e+10,6.84518e+09,-7.70071e+11,2.47405e+11,1.61825e+10,-5.61045e+11,-1.38672e+12,4.64424e+10,2.82553e+12,9.76056e+11,-3.29982e+10,4.18102e+12,-1.61582e+12,-6.30887e+10,1.27324e+12,-4.76877e+12,1.42163e+11,
5.56928e+08,2.00297e+08,-2.40422e+07,5.47256e+10,-1.29698e+10,-6.06484e+09,-1.04696e+11,1.83578e+10,6.30343e+09,-7.62654e+08,1.47561e+11,-5.35869e+07,-2.43627e+11,4.26221e+10,6.84381e+09,-7.70085e+11,2.47363e+11,1.6183e+10,-5.61015e+11,-1.38673e+12,4.64414e+10,2.82552e+12,9.76078e+11,-3.2998e+10,4.18103e+12,-1.6158e+12,-6.30892e+10,1.27326e+12,-4.76877e+12,1.42157e+11,
5.56934e+08,2.0034e+08,-2.40424e+07,5.47329e+10,-1.27926e+10,-6.05107e+09,-1.04718e+11,1.82325e+10,6.30294e+09,-8.7173e+08,1.4756e+11,-5.35842e+07,-2.43639e+11,4.25436e+10,6.84245e+09,-7.701e+11,2.4732e+11,1.61835e+10,-5.60985e+11,-1.38675e+12,4.64404e+10,2.82551e+12,9.761e+11,-3.29978e+10,4.18104e+12,-1.61578e+12,-6.30898e+10,1.27328e+12,-4.76876e+12,1.42152e+11,
5.5694e+08,2.00383e+08,-2.40426e+07,5.47397e+10,-1.26153e+10,-6.03724e+09,-1.04739e+11,1.81072e+10,6.30244e+09,-9.80806e+08,1.47558e+11,-5.35815e+07,-2.4365e+11,4.24651e+10,6.84109e+09,-7.70115e+11,2.47277e+11,1.6184e+10,-5.60954e+11,-1.38676e+12,4.64394e+10,2.82551e+12,9.76122e+11,-3.29976e+10,4.18104e+12,-1.61576e+12,-6.30903e+10,1.2733e+12,-4.76876e+12,1.42146e+11,
5.56946e+08,2.00425e+08,-2.40428e+07,5.4746e+10,-1.24379e+10,-6.02335e+09,-1.0476e+11,1.79818e+10,6.30193e+09,-1.08988e+09,1.47556e+11,-5.35788e+07,-2.43662e+11,4.23866e+10,6.83972e+09,-7.7013e+11,2.47235e+11,1.61845e+10,-5.60924e+11,-1.38677e+12,4.64385e+10,2.8255e+12,9.76144e+11,-3.29974e+10,4.18105e+12,-1.61575e+12,-6.30909e+10,1.27332e+12,-4.76876e+12,1.4214e+11,
5.56952e+08,2.00468e+08,-2.4043e+07,5.47517e+10,-1.22603e+10,-6.0094e+09,-1.04781e+11,1.78565e+10,6.30142e+09,-1.19896e+09,1.47555e+11,-5.35761e+07,-2.43673e+11,4.2308e+10,6.83836e+09,-7.70145e+11,2.47192e+11,1.6185e+10,-5.60894e+11,-1.38679e+12,4.64375e+10,2.82549e+12,9.76166e+11,-3.29972e+10,4.18106e+12,-1.61573e+12,-6.30914e+10,1.27334e+12,-4.76876e+12,1.42135e+11,
5.56958e+08,2.00511e+08,-2.40432e+07,5.47569e+10,-1.20826e+10,-5.99539e+09,-1.04802e+11,1.77311e+10,6.30089e+09,-1.30803e+09,1.47553e+11,-5.35734e+07,-2.43685e+11,4.22295e+10,6.83699e+09,-7.7016e+11,2.4715e+11,1.61855e+10,-5.60863e+11,-1.3868e+12,4.64365e+10,2.82548e+12,9.76189e+11,-3.2997e+10,4.18106e+12,-1.61571e+12,-6.30919e+10,1.27336e+12,-4.76876e+12,1.42129e+11,
5.56964e+08,2.00554e+08,-2.40434e+07,5.47616e+10,-1.19049e+10,-5.98133e+09,-1.04822e+11,1.76056e+10,6.30036e+09,-1.4171e+09,1.47551e+11,-5.35706e+07,-2.43696e+11,4.2151e+10,6.83563e+09,-7.70175e+11,2.47107e+11,1.6186e+10,-5.60833e+11,-1.38681e+12,4.64355e+10,2.82547e+12,9.76211e+11,-3.29969e+10,4.18107e+12,-1.61569e+12,-6.30925e+10,1.27338e+12,-4.76876e+12,1.42124e+11,
